id,parent,lat,lon,name,location_type,pm_2.5,temp_f,temp_c,humidity,pressure,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,last_seen,model,adc,rssi,hidden,flagged,downgraded,age,brightness,hardware,version,last_update_check,created,uptime,is_owner,10min_avg,30min_avg,1hour_avg,6hour_avg,1day_avg,1week_avg
100674.0,100673.0,37.90493,-122.307736,Diamond Jim B,,,,,,,,,,,,,,,,,,,2022-02-12 21:40:09,,,,False,False,False,1.0,,,,,,,False,,,,,,
125712.0,125711.0,48.130607,-117.210206,Diamond Lake B,,0.0,,,,,,,,,,,,,,,,,2022-02-12 21:40:38,,,,False,False,False,0.0,,,,,,,False,0.7,1.56,2.22,3.21,5.18,5.91
85982.0,85981.0,43.144924,-122.166131,Diamond Lake B,,1.69,,,,,,,,,,,,,,,,,2022-02-12 21:41:11,,,,False,False,False,0.0,,,,,,,False,0.9,0.97,0.93,0.61,0.38,0.37
111320.0,111319.0,38.765544,-121.281367,Diamond Oaks Park B,,13.02,,,,,,,,,,,,,,,,,2022-02-12 21:39:44,,,,False,False,False,1.0,,,,,,,False,12.99,14.63,16.17,24.04,29.1,31.43
71776.0,71775.0,37.743712,-122.43567,Diamond St. B,,32.04,,,,,,,,,,,,,,,,,2022-02-12 21:40:02,,,,False,False,False,1.0,,,,,,,False,31.56,31.73,31.57,22.96,15.59,16.82
13028.0,13027.0,45.202948,9.136078,DICAr - P@P-PA-1 B,,20.68,,,,,,,,,,,,,,,,,2022-02-12 21:39:48,,,,False,False,False,1.0,,,,,,,False,19.02,16.92,14.54,17.03,21.67,27.92
13030.0,13029.0,45.203203,9.136154,DICAr 2 - P@P-PA-2 B,,24.05,,,,,,,,,,,,,,,,,2022-02-12 21:39:45,,,,False,False,False,1.0,,,,,,,False,21.73,19.81,17.15,18.7,23.11,30.42
17018.0,17017.0,45.202744,9.13713,DICar 3 - P@P-PA-5 B,,29.63,,,,,,,,,,,,,,,,,2022-02-12 21:39:31,,,,False,False,False,1.0,,,,,,,False,27.08,24.1,20.8,21.98,26.71,33.52
69270.0,69269.0,37.889372,-122.456948,Dick Rothkopf B,,33.19,,,,,,,,,,,,,,,,,2022-02-12 21:40:15,,,,False,False,False,1.0,,,,,,,False,32.63,32.86,34.13,23.87,15.17,15.57
116074.0,116073.0,29.463194,-95.042483,Dickinson Office of Emergency Management B,,5.25,,,,,,,,,,,,,,,,,2022-02-12 21:39:52,,,,False,False,False,1.0,,,,,,,False,4.72,7.07,12.92,16.47,10.44,7.06
97802.0,97801.0,42.348237,-71.161914,Dickinson Road B,,0.05,,,,,,,,,,,,,,,,,2022-02-12 21:39:46,,,,False,False,False,1.0,,,,,,,False,0.1,0.63,1.82,4.43,7.16,10.29
114832.0,114831.0,51.654809,-114.140074,Didsbury 2 B,,0.0,,,,,,,,,,,,,,,,,2022-02-12 21:40:16,,,,False,False,False,1.0,,,,,,,False,0.0,0.05,0.54,1.42,0.78,1.2
4328.0,4327.0,51.667636,-114.124935,Didsbury B,,0.28,,,,,,,,,,,,,,,,,2022-02-12 21:40:03,,,,False,False,False,1.0,,,,,,,False,0.22,0.38,0.56,0.45,0.54,3.24
52994.0,52993.0,37.367078,-122.065921,Diericx Tremere Chantry B,,16.95,,,,,,,,,,,,,,,,,2022-02-12 21:41:23,,,,False,False,False,0.0,,,,,,,False,15.54,16.15,16.29,12.42,9.93,13.43
55882.0,55881.0,34.052506,-118.262002,diet coke bedroom B,,,,,,,,,,,,,,,,,,,2022-02-12 21:40:45,,,,False,False,False,0.0,,,,,,,False,,,,,,
102105.0,102104.0,21.162534,-86.867845,DIF BENITO JUÁREZ - SEMA B,,4.42,,,,,,,,,,,,,,,,,2022-02-10 14:35:09,,,,False,False,False,3306.0,,,,,,,False,28.02,33.4,30.63,18.44,14.11,10.69
